semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7660,60176,MGTS7803,A1: Advisory report to develop strategic options,"LO1, LO2","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60176,MGTS7803,A2: Selecting & Recommending Implementation of a Strategic Option,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60176,MGTS7803,A3: Business Simulation Reflection,"LO1, LO2, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60074,MGTS7810,Assessment 2 Individual Case Analysis,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62573,MGTS7810,Input-Process-Output (IPO) Analysis,"LO1, LO2","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62573,MGTS7810,Assessment 1: Small Group Presentation PowerPoint,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62573,MGTS7810,Assessment 2 Individual Case Analysis,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60178,MGTS7812,A1: Stakeholder Simulation,"LO1, LO3, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60178,MGTS7812,A2: Organisation Case-Study - Closing the Gap Group Presentation,"LO1, LO2, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60093,MGTS7820,A1: Stakeholder and Situation Analysis,"LO1, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60093,MGTS7820,A2: Personal Reflection - Individual,"LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60093,MGTS7820,A3: Final Presentation,"LO1, LO2, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7520,20335,MKTG2501,Consumer Behaviour Case Study,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7460 (scraped): the 7520 profile shows LO2, LO3, LO4, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20369,MKTG2501,In-Semester Examination,"LO1, LO2, LO3, LO5","Carried forward from 7460 (scraped): the 7620 profile shows LO1, LO2, LO3, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60466,MKTG7503,Assessment 1: Poster Presentation,"LO1, LO2, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60466,MKTG7503,Assessment 2: Research Report (Group project),"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60466,MKTG7503,Assessment 3: Final Exam,"LO1, LO2","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60095,MKTG7513,Social Change Project - Part B - Team Social Marketing Strategy Pitch,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows LO1, LO3, LO4, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60287,RBUS4411,Presentation and analysis of academic research method,"LO1, LO3, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,62732,RBUS4999,A3. Professional Development Plan,"LO3, LO4, LO5","Carried forward from 7520 (scraped): the 7560 profile shows LO4, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7580,80070,RBUS4999,A2. Workplace reflection,"LO1, LO3, LO4","Carried forward from 7560 (scraped): the 7580 profile shows LO3, LO4, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20125,RBUS6902,Report,"LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7560 (scraped): the 7620 profile shows LO1, LO2, LO3, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60104,RBUS7888,A1: Critical Reflection,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7520 (scraped): the 7560 profile shows LO1, LO2, LO3, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,22414,TIMS7811,Critical Reflection Essay,"LO1, LO2, LO3","Carried forward from 7560 (scraped): the 7620 profile shows LO2, LO3, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60481,TOUR1004,Test bank exercises,"LO1, LO3, LO4","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
